eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
1451994,1999,2,13,21,46,28.7,102.8258,-4.9794,700.0,2.1015,0.0
17198558,2011,3,25,21,44,18.21,109.5132,-5.1621,700.0,3.71862,0.0
300154,1992,3,17,19,2,13.0,109.5,-6.5,662.0,3.3,0.0
612165570,2018,6,22,20,57,43.65,108.3305,-5.0316,656.4,5.43681,0.0
484365,1986,10,18,22,9,33.39,109.9477,-5.5495,652.3,5.94216,0.0
15634840,2010,5,31,15,45,12.82,108.1441,-5.0687,652.1,4.02183,0.0
13530014,2007,5,6,21,48,26.0,108.87,-4.72,650.0,4.1,0.0
608079050,2015,12,5,6,51,34.72,106.8422,-4.264,645.0,4.93146,0.0
1007142,1997,1,19,2,27,14.35,108.2946,-5.0604,643.5,5.1336,0.0
529480,1985,3,8,0,24,43.26,106.8088,-4.3695,638.5,5.63895,0.0
603794709,2013,11,17,17,20,39.5,108.044,-4.9952,628.6,4.42611,0.0
609604648,2016,10,19,0,26,1.15,108.1269,-4.8957,620.7,6.24537,0.0
8106435,2006,2,19,21,5,15.54,108.1941,-5.1458,610.0,4.72932,0.0
16103667,2009,8,9,22,17,31.28,106.9912,-4.5572,608.3,2.91006,0.0
3760502,2002,4,17,21,33,13.68,107.0859,-4.4923,600.0,4.22397,0.0
649732,1980,3,17,19,49,57.92,107.1958,-4.6886,600.0,4.62825,0.0
674784,1978,10,2,5,39,17.38,107.0377,-4.6494,600.0,5.1336,0.0
7375830,2004,7,25,14,35,19.04,104.0705,-2.5712,580.8,7.155,0.0
103593,1995,5,13,21,0,56.82,108.8586,-5.312,576.2,5.84109,0.0
558958,1984,2,11,19,12,16.95,109.5168,-5.464,571.3,4.93146,0.0
808220,1969,6,21,15,12,11.23,109.5786,-5.4043,566.0,5.74002,0.0
618630269,2019,4,1,3,26,33.6,109.9,-6.38,557.0,4.22397,0.0
13309010,2007,12,30,10,46,29.78,109.9352,-5.5957,556.0,3.81969,0.0
767036,1972,11,5,10,59,56.41,109.9807,-5.6713,556.0,4.32504,0.0
615021242,2016,11,8,17,21,22.51,109.9834,-5.6566,550.6,4.22397,0.0
16154714,2009,5,1,19,27,10.12,109.6962,-5.7868,550.0,3.01113,0.0
601819780,2012,10,9,23,22,36.34,109.8894,-5.7441,550.0,3.92076,0.0
602856003,2013,1,18,18,55,8.1,109.9322,-5.7612,550.0,3.92076,0.0
290174,1992,5,5,22,36,56.03,109.9033,-6.08,550.0,4.83039,0.0
1331962,1998,12,2,5,31,7.7,106.8534,-6.3092,527.5,3.21327,0.0
17173819,2010,5,27,11,18,40.31,108.9742,-5.6183,504.4,3.1122,0.0
209158,1993,9,21,7,40,35.79,104.7251,-3.9063,500.0,4.62825,0.0
64455,1995,12,19,7,8,16.47,109.7917,-6.0005,500.0,4.62825,0.0
571178,1983,8,31,1,5,37.08,105.5158,-4.3108,500.0,4.72932,0.0
604646535,2013,8,27,14,2,20.68,107.9298,-5.1891,484.9,3.1122,0.0
10613176,2006,3,30,1,32,59.14,106.4871,-4.9052,483.0,3.1122,0.0
1029993,1997,6,1,11,19,21.85,106.9694,-4.8217,470.0,4.02183,0.0
2992556,2002,4,21,19,24,5.87,108.3027,-5.4053,468.3,5.23467,0.0
12073137,2008,11,11,4,17,54.9,107.6365,-5.7658,450.0,3.61755,0.0
17497838,2011,9,15,16,41,43.49,109.6251,-5.9998,450.0,3.61755,0.0
1445167,1999,1,30,14,34,50.4,107.6588,-5.3376,441.4,3.01113,0.0
1060523,1997,12,25,7,39,10.0,103.9611,-5.1078,422.5,4.8,0.0
3756098,2002,1,15,11,56,3.02,107.515,-5.4342,400.0,3.31434,0.0
12082022,2009,1,22,2,4,24.93,108.5013,-5.5513,400.0,3.92076,0.0
268388,1992,10,18,20,11,41.4,100.6,-3.5,400.0,4.0,0.0
7321634,2004,3,30,2,39,11.21,105.2045,-3.4815,393.3,3.01113,0.0
6695776,2003,4,18,18,36,43.31,104.2923,-2.8762,390.2,2.80899,0.0
7188896,2003,11,21,10,30,9.76,104.1196,-3.6207,387.0,2.60685,0.0
3328476,2001,8,14,20,26,27.93,107.4981,-5.4809,379.4,3.1122,0.0
9601863,2006,7,30,9,49,39.1,103.5742,-3.4544,370.2,2.91006,0.0
3801520,2002,8,30,1,17,29.85,108.5556,-5.6958,367.9,3.1122,0.0
3269290,2001,2,13,20,46,4.84,105.5224,-2.7548,361.3,3.1122,0.0
16148128,2010,10,28,14,39,39.07,104.159,-3.2151,360.6,4.22397,0.0
6593046,2003,2,22,17,22,3.17,104.0382,-2.2219,359.3,3.1122,0.0
