eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
610546059,2017,3,12,4,40,0.74,104.2472,-7.117,19.9,4.02183,0.0
8458289,2005,5,10,1,9,5.28,103.1301,-6.2608,19.7,6.04323,0.0
7382652,2005,5,29,4,55,17.22,103.0218,-4.6425,19.5,5.53788,0.0
601008,1982,4,21,11,51,32.65,102.2345,-5.0987,19.2,5.43681,0.0
604088276,2014,2,23,9,17,17.16,104.3964,-7.184,19.1,4.02183,0.0
611816117,2016,4,1,21,7,20.0,103.03,-5.06,19.0,2.6,0.0
615345722,2017,2,23,16,6,14.5,103.16,-5.25,19.0,2.8,0.0
621851523,2020,8,15,13,4,27.9,104.52,-6.29,19.0,2.9,0.0
611530286,2015,5,13,6,41,29.4,102.46,-5.08,19.0,3.0,0.0
618630418,2019,4,11,23,23,44.7,103.69,-5.13,19.0,3.0,0.0
611531541,2015,9,2,6,19,24.5,103.5,-5.26,19.0,3.1,0.0
15881793,2010,6,4,12,15,21.6,102.85,-4.95,19.0,3.2,0.0
601988893,2011,1,6,14,1,17.9,105.35,-6.84,19.0,3.2,0.0
618620392,2018,2,8,18,42,24.2,105.57,-5.79,19.0,3.2,0.0
618622484,2018,4,17,9,16,57.0,105.48,-7.29,19.0,3.2,0.0
12923440,2008,12,18,4,0,53.0,105.51,-7.75,19.0,3.4,0.0
611815335,2016,1,11,4,47,56.0,102.73,-5.58,19.0,3.4,0.0
615345208,2017,1,10,5,24,39.2,105.17,-6.77,19.0,3.4,0.0
618628324,2019,1,10,22,42,27.2,103.58,-5.56,19.0,3.5,0.0
618629505,2019,2,19,6,8,11.4,105.73,-7.18,19.0,3.5,0.0
602001548,2011,2,13,21,28,14.4,104.69,-7.61,19.0,3.6,0.0
611840299,2015,6,29,14,17,56.7,103.91,-5.72,19.0,3.6,0.0
618627709,2018,12,14,11,38,51.7,105.69,-7.55,19.0,3.6,0.0
621872659,2020,5,14,5,58,18.8,105.47,-7.0,19.0,3.6,0.0
606806896,2013,2,16,3,35,33.3,103.64,-5.5,19.0,3.7,0.0
618635934,2019,12,29,4,4,52.2,105.6,-7.06,19.0,3.7,0.0
621853248,2020,11,5,3,29,18.7,102.93,-5.28,19.0,3.7,0.0
