eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
1451994,1999,02,13,21,46,28.70,102.8258,-4.9794,700,2.1015,0
17198558,2011,03,25,21,44,18.21,109.5132,-5.1621,700,3.71862,0
300154,1992,03,17,19,02,13   ,109.5,-6.5,662,3.3,0
612165570,2018,06,22,20,57,43.65,108.3305,-5.0316,656.4,5.43681,0
484365,1986,10,18,22,09,33.39,109.9477,-5.5495,652.3,5.94216,0
15634840,2010,05,31,15,45,12.82,108.1441,-5.0687,652.1,4.02183,0
13530014,2007,05,06,21,48,26   ,108.87,-4.72,650,4.1,0
3213943,2002,04,17,21,40,16.61,107.0829,-4.4467,650,4.1229,0
608079050,2015,12,05,06,51,34.72,106.8422,-4.264,645,4.93146,0
1007142,1997,01,19,02,27,14.35,108.2946,-5.0604,643.5,5.1336,0
529480,1985,03,08,00,24,43.26,106.8088,-4.3695,638.5,5.63895,0
296331,1992,04,19,02,13,23.70,109.8,-6.1,629,3.3,0
603794709,2013,11,17,17,20,39.50,108.044,-4.9952,628.6,4.42611,0
609604648,2016,10,19,00,26,01.15,108.1269,-4.8957,620.7,6.24537,0
8106435,2006,02,19,21,05,15.54,108.1941,-5.1458,610,4.72932,0
16103667,2009,08,09,22,17,31.28,106.9912,-4.5572,608.3,2.91006,0
3760502,2002,04,17,21,33,13.68,107.0859,-4.4923,600,4.22397,0
7376220,2004,07,26,19,37,43.96,103.4138,-2.6789,600,4.22397,0
649732,1980,03,17,19,49,57.92,107.1958,-4.6886,600,4.62825,0
674784,1978,10,02,05,39,17.38,107.0377,-4.6494,600,5.1336,0
7375830,2004,07,25,14,35,19.04,104.0705,-2.5712,580.8,7.155,0
103593,1995,05,13,21,00,56.82,108.8586,-5.312,576.2,5.84109,0
558958,1984,02,11,19,12,16.95,109.5168,-5.464,571.3,4.93146,0
808220,1969,06,21,15,12,11.23,109.5786,-5.4043,566,5.74002,0
618630269,2019,04,01,03,26,33.60,109.9,-6.38,557,4.22397,0
13309010,2007,12,30,10,46,29.78,109.9352,-5.5957,556,3.81969,0
767036,1972,11,05,10,59,56.41,109.9807,-5.6713,556,4.32504,0
615021242,2016,11,08,17,21,22.51,109.9834,-5.6566,550.6,4.22397,0
16154714,2009,05,01,19,27,10.12,109.6962,-5.7868,550,3.01113,0
601819780,2012,10,09,23,22,36.34,109.8894,-5.7441,550,3.92076,0
602856003,2013,01,18,18,55,08.10,109.9322,-5.7612,550,3.92076,0
290174,1992,05,05,22,36,56.03,109.9033,-6.08,550,4.83039,0
1331962,1998,12,02,05,31,07.70,106.8534,-6.3092,527.5,3.21327,0
17173819,2010,05,27,11,18,40.31,108.9742,-5.6183,504.4,3.1122,0
209158,1993,09,21,07,40,35.79,104.7251,-3.9063,500,4.62825,0
64455,1995,12,19,07,08,16.47,109.7917,-6.0005,500,4.62825,0
571178,1983,08,31,01,05,37.08,105.5158,-4.3108,500,4.72932,0
604646535,2013,08,27,14,02,20.68,107.9298,-5.1891,484.9,3.1122,0
10613176,2006,03,30,01,32,59.14,106.4871,-4.9052,483,3.1122,0
1029993,1997,06,01,11,19,21.85,106.9694,-4.8217,470,4.02183,0
2992556,2002,04,21,19,24,05.87,108.3027,-5.4053,468.3,5.23467,0
12073137,2008,11,11,04,17,54.90,107.6365,-5.7658,450,3.61755,0
17497838,2011,09,15,16,41,43.49,109.6251,-5.9998,450,3.61755,0
1445167,1999,01,30,14,34,50.40,107.6588,-5.3376,441.4,3.01113,0
1060523,1997,12,25,07,39,10   ,103.9611,-5.1078,422.5,4.8,0
3756098,2002,01,15,11,56,03.02,107.515,-5.4342,400,3.31434,0
7312887,2004,03,18,08,10,53.79,104.2703,-2.9269,400,3.71862,0
12082022,2009,01,22,02,04,24.93,108.5013,-5.5513,400,3.92076,0
268388,1992,10,18,20,11,41.40,100.6,-3.5,400,4,0
7068275,2003,08,22,23,54,22.90,104.0847,-2.65,400,4.02183,0
7321634,2004,03,30,02,39,11.21,105.2045,-3.4815,393.3,3.01113,0
6695776,2003,04,18,18,36,43.31,104.2923,-2.8762,390.2,2.80899,0
7188896,2003,11,21,10,30,09.76,104.1196,-3.6207,387,2.60685,0
12805747,2007,08,16,16,15,42.11,107.6854,-6.0278,380,3.71862,0
3328476,2001,08,14,20,26,27.93,107.4981,-5.4809,379.4,3.1122,0
9601863,2006,07,30,09,49,39.10,103.5742,-3.4544,370.2,2.91006,0
3801520,2002,08,30,01,17,29.85,108.5556,-5.6958,367.9,3.1122,0
3269290,2001,02,13,20,46,04.84,105.5224,-2.7548,361.3,3.1122,0
16148128,2010,10,28,14,39,39.07,104.159,-3.2151,360.6,4.22397,0
6593046,2003,02,22,17,22,03.17,104.0382,-2.2219,359.3,3.1122,0
970098,1996,06,16,03,39,40.50,102.52,-5.28,353.9,3.51648,0
7187243,2003,11,19,00,35,01.66,106.7728,-2.2458,353.6,2.80899,0
3268928,2001,02,10,03,43,04.16,104.6332,-4.48,351.6,3.21327,0
619569138,2020,11,22,18,10,27.10,103.758,-3.2256,350,3.01113,0
617446335,2018,01,15,17,52,39.55,104.0833,-3.2815,350,3.31434,0
17197255,2011,03,19,14,21,45.81,107.4003,-6.2506,350,3.51648,0
605700603,2014,10,31,20,41,59.90,103.9595,-3.4975,350,3.51648,0
617449209,2018,03,10,13,40,35.88,103.5143,-3.0571,350,3.51648,0
2402602,2000,07,20,23,49,34.39,107.3717,-5.6094,350,3.61755,0
604030791,2014,02,01,20,56,58.90,103.9681,-2.8774,350,3.61755,0
17188760,2010,12,28,04,28,36.38,107.6643,-7.483,350,3.71862,0
616315955,2019,07,26,00,40,07.40,103.9568,-3.2944,350,3.71862,0
600955252,2012,03,14,16,33,51.45,106.5434,-4.8467,350,3.92076,0
611805174,2018,03,06,14,34,07.03,106.7462,-5.1104,350,3.92076,0
611928316,2018,04,23,13,51,37.42,104.1843,-3.2702,350,4.02183,0
9306539,2006,07,14,21,30,46.83,103.9427,-3.2897,350,4.1229,0
307032,1992,01,12,18,26,18.78,103.6529,-3.7516,350,4.2,0
540967,1984,10,09,13,44,53.32,103.7404,-3.1328,350,4.42611,0
406670,1989,04,07,03,25,14.04,104.1493,-3.0083,350,4.72932,0
264598,1992,11,26,10,28,55.40,106.4522,-5.7655,350,4.8,0
611201,1981,09,09,12,54,31.23,106.491,-5.1323,350,4.93146,0
871251,1964,01,14,08,24,46.16,104.224,-3.0476,350,5.03253,0
823777,1968,04,11,03,36,48.34,107.9806,-5.8347,350,5.1336,0
17182316,2010,09,18,14,37,06.87,108.1169,-5.8252,349,3.21327,0
7065674,2003,08,20,05,31,23.18,108.054,-5.674,345.2,3.21327,0
1445274,1999,01,30,21,59,43.40,106.8754,-4.8821,344.5,3.81969,0
1957557,1999,11,09,16,45,23.41,104.8614,-3.8836,337.9,3.51648,0
6856541,2003,05,30,07,14,58.46,105.2337,-3.5312,333.4,2.91006,0
1031546,1997,06,11,04,50,34.79,109.0878,-6.0101,330,4.02183,0
866011,1964,07,13,12,30,42.16,106.3265,-5.3731,330,4.42611,0
1539039,1999,03,07,01,32,28.28,107.4768,-5.9465,327.1,5.1336,0
258946,1992,12,24,17,57,14.60,101.2,-2.9,327,4,0
277238,1992,08,13,11,25,11.90,103.3,-4.7,323,2.7,0
12080367,2009,01,05,11,46,19.99,107.7846,-5.6886,321.7,3.31434,0
9751653,2006,12,10,10,28,42.07,109.8652,-6.7169,320,3.92076,0
1206172,1998,09,22,07,01,43.50,103.0105,-4.4093,320,4.5,0
2784691,2000,11,10,10,57,03.89,106.1131,-4.4499,319.8,3.31434,0
291228,1992,05,13,18,21,51.30,102.4,-5.7,319,3,0
8296107,2005,03,30,04,25,51.31,107.7725,-5.7408,318.8,3.31434,0
308438,1992,01,25,12,39,44.60,101.1,-2.3,317,3.9,0
611053280,2017,09,25,20,08,23.80,107.7974,-5.9145,317,4.1229,0
608483859,2016,03,14,13,29,11.64,107.2392,-5.7212,312.7,4.32504,0
304913,1992,02,23,07,33,12.60,106.3,-5.9,312,3.3,0
614399717,2018,11,15,15,16,50.11,108.0621,-6.1339,310.9,4.02183,0
948859,1996,02,19,16,53,53.32,107.8843,-6.2862,310,3.92076,0
7375799,2004,07,25,11,59,41.01,108.0806,-6.149,310,4.1229,0
329850,1991,06,22,18,18,38.54,107.2064,-5.5378,310,4.52718,0
164980,1994,07,17,04,42,42.89,107.4442,-6.0158,309.9,5.33574,0
6536776,2003,01,14,13,05,49.17,103.8194,-2.6493,309.3,3.71862,0
13242477,2007,10,15,05,28,37   ,109.54,-7.18,309,3.1,0
2784854,2000,11,12,22,51,07.64,103.9009,-2.6013,308.5,3.21327,0
6589035,2003,02,16,19,34,24.67,105.793,-3.8933,305.8,2.91006,0
606792977,2012,11,12,18,28,40.40,108.06,-7.13,305,3.1,0
12698079,2008,07,08,03,37,44.20,107.9231,-6.1817,303.2,3.41541,0
601109574,2012,06,08,07,04,23.55,107.4601,-5.8827,302,4.52718,0
17179218,2010,07,28,20,36,52.64,106.9909,-6.1469,301.4,3.01113,0
686101,1978,02,05,18,18,17.88,104.2603,-3.4512,301,5.03253,0
301162,1992,03,24,20,28,20.49,106.5002,-5.9676,300,3.1,0
617416259,2019,03,12,19,27,23.45,108.4071,-5.6772,300,3.1122,0
602859395,2013,02,22,09,08,30.32,103.5001,-2.7643,300,3.21327,0
6835846,2003,05,06,09,09,47.62,108.9658,-4.988,300,3.31434,0
2204677,2000,03,21,21,12,45.30,104.6207,-7.4993,300,3.4,0
600733980,2012,01,18,16,32,59.11,105.8109,-5.4861,300,3.41541,0
608586881,2016,03,02,12,13,15.65,103.22,-2.8574,300,3.41541,0
2682149,2002,01,07,22,55,22.09,107.0304,-5.7523,300,3.51648,0
617461246,2018,12,15,13,21,36.22,107.9274,-6.5186,300,3.51648,0
617438446,2019,12,17,11,12,42.13,107.5455,-6.0471,300,3.51648,0
13291131,2007,12,17,05,42,37.00,103.0559,-3.105,300,3.61755,0
606908789,2013,12,27,12,04,29.80,107.4297,-5.4915,300,3.61755,0
617411212,2019,01,21,03,06,19.48,103.8073,-3.7399,300,3.61755,0
619721516,2020,12,31,22,19,34.90,103.8116,-2.9329,300,3.61755,0
1002705,1996,12,20,20,02,31.34,106.3312,-5.9437,300,3.71862,0
1033242,1997,06,22,03,07,14.33,107.2234,-6.0124,300,3.71862,0
617453529,2018,06,23,21,41,33.82,107.7939,-5.907,300,3.71862,0
12635887,2009,03,29,20,22,18.28,103.1466,-3.2984,300,3.81969,0
602389915,2012,11,24,00,34,52.63,107.8177,-6.4993,300,3.81969,0
607188096,2015,03,10,00,59,13.03,107.927,-6.2221,300,3.81969,0
607673805,2015,07,29,00,34,19.77,104.2087,-3.114,300,3.81969,0
611951167,2018,05,14,13,50,10.87,107.4685,-6.0831,300,3.81969,0
613568470,2018,10,24,21,45,23.63,107.2466,-5.9307,300,3.81969,0
617589003,2020,02,16,08,30,37.57,107.219,-6.1782,300,3.81969,0
2202321,2000,03,01,19,33,37   ,107.2331,-5.4857,300,3.9,0
12801425,2007,08,10,03,15,57.91,107.3012,-6.0724,300,3.92076,0
12079524,2008,12,30,09,42,19.76,108.3115,-6.3369,300,3.92076,0
605416358,2014,08,18,19,47,45.99,107.9171,-6.2856,300,3.92076,0
7420171,2004,10,20,15,47,42.86,108.0452,-6.289,300,4.02183,0
12082509,2009,01,27,19,23,36.20,108.2173,-6.4251,300,4.02183,0
15637462,2010,07,05,04,12,46.95,107.7585,-6.0438,300,4.02183,0
382734,1989,12,01,18,44,43.73,108.3205,-6.1318,300,4.1229,0
3318185,2001,05,12,18,07,37.06,108.0332,-5.6342,300,4.1229,0
3791439,2002,07,10,16,59,25.58,107.6541,-5.6528,300,4.1229,0
606920094,2014,07,20,18,46,53.82,107.8093,-6.256,300,4.1229,0
618835532,2020,08,13,19,03,44.88,103.4857,-3.0019,300,4.1229,0
12813934,2007,08,26,09,58,27.29,107.3182,-5.836,300,4.22397,0
11533908,2008,05,29,01,30,33.76,107.4935,-5.8652,300,4.22397,0
619620641,2020,12,09,04,41,22.15,103.8157,-3.3256,300,4.22397,0
11920725,2007,04,09,14,56,39.91,107.4895,-5.9238,300,4.32504,0
17039200,2011,08,30,09,56,00.52,107.4122,-5.8913,300,4.32504,0
